name,description,img
Moto Tab G70,"Motorola Moto Tab G70 Android tablet. Announced Jan 2022. Features 11.0″  display, MT6785 Helio G90T chipset, 7700 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-tab-g70.jpg
Moto G Power,"Motorola Moto G Power Android smartphone. Announced Feb 2020. Features 6.4″  display, Snapdragon 665 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-power.jpg
Moto G5S Plus,"Motorola Moto G5S Plus Android smartphone. Announced Aug 2017. Features 5.5″  display, Snapdragon 625 chipset, Dual: 13 MP (f/2.0, AF) + 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g5s.jpg
Edge,"Motorola Edge Android smartphone. Announced Apr 2020. Features 6.7″  display, Snapdragon 765G 5G chipset, 4500 mAh battery, 256 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-midnight-magenta.jpg
Edge+ (2020),"Motorola Edge+ (2020) Android smartphone. Announced Apr 2020. Features 6.7″  display, Snapdragon 865 5G chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-plus.jpg
Moto G Play (2021),"Motorola Moto G Play (2021) Android smartphone. Announced Jan 2021. Features 6.5″  display, Snapdragon 460 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-play-2021.jpg
Moto G40 Fusion,"Motorola Moto G40 Fusion Android smartphone. Announced Apr 2021. Features 6.8″  display, Snapdragon 732G chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g60.jpg
Moto G Stylus (2021),"Motorola Moto G Stylus (2021) Android smartphone. Announced Jan 2021. Features 6.8″  display, Snapdragon 678 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-2021.jpg
Moto G Stylus,"Motorola Moto G Stylus Android smartphone. Announced Feb 2020. Features 6.4″  display, Snapdragon 665 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-.jpg
Moto E7 Power,"Motorola Moto E7 Power Android smartphone. Announced Feb 2021. Features 6.51″  display, MediaTek MT6762G Helio G25 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e7-power.jpg
Moto G9 Power,"Motorola Moto G9 Power Android smartphone. Announced Nov 2020. Features 6.8″  display, Snapdragon 662 chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-power.jpg
Moto G9 Plus,"Motorola Moto G9 Plus Android smartphone. Announced Sep 2020. Features 6.81″  display, Snapdragon 730G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-plus-new.jpg
Moto G7,"Motorola Moto G7 Android smartphone. Announced Feb 2019. Features 6.2″  display, Snapdragon 632 chipset, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g7.jpg
Moto E30,"Motorola Moto E30 Android smartphone. Announced Nov 2021. Features 6.5″  display, Unisoc T700 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e30.jpg
Moto G5,"Motorola Moto G5 Android smartphone. Announced Feb 2017. Features 5.0″  display, Snapdragon 430 chipset, 13 MP primary camera, 5 MP front camera, 2800 mAh battery, 32 GB storage, 3 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g5-r1.jpg
Moto E7,"Motorola Moto E7 Android smartphone. Announced Nov 2020. Features 6.5″  display, MediaTek MT6762G Helio G25 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e7-r1.jpg
Moto E4 Plus,"Motorola Moto E4 Plus Android smartphone. Announced Jun 2017. Features 5.5″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 5000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e4-plus.jpg
